Year,Activity,Sex,Age,Fatality,Time,Day,Month,Destination
2018,Paddling,F,57,N,Evening,Monday,June,"California, USA"
2018,Standing,F,11,N,Afternoon,Monday,June,"Georgia, USA"
2018,Surfing,M,48,N,Morning,Saturday,June,"Hawaii, USA"
2018,Swimming,M,18,Y,Afternoon,Sunday,June,"Pernambuco, BRAZIL"
2018,Walking,M,15,N,Evening,Saturday,May,"Florida, USA"
2018,Standing,M,12,N,Afternoon,Saturday,May,"Florida, USA"
2018,Feeding,M,32,N,Morning,Thursday,May,"Queensland, AUSTRALIA"
2018,Swimming,M,10,N,Afternoon,Sunday,May,"South Carolina, USA"
2018,Fishing,M,21,N,Morning,Sunday,May,"Cornwall, ENGLAND"
2018,Scuba diving,M,30,N,Morning,Saturday,April,"Cocos Island, COSTA RICA"
2018,Surfing,M,60,N,Morning,Wednesday,April,"Western Australia, AUSTRALIA"
2018,Fishing,M,32,N,Night,Monday,April,"Alifu Alifu Atoll, MALDIVES"
2018,Paddle-skiing,M,33,N,Morning,Sunday,April,"Western Cape Province, SOUTH AFRICA"
2018,Surfing,M,37,N,Morning,Sunday,April,"Western Australia, AUSTRALIA"
2018,Surfing,M,19,N,Afternoon,Tuesday,April,"Eastern Cape Province, SOUTH AFRICA"
2018,Stand-Up Paddleboarding,M,25,N,Morning,Saturday,March,"Hawaii, USA"
2018,Wading,M,10,N,Evening,Wednesday,March,"Western Australia, AUSTRALIA"
2018,Swimming,M,69,N,Afternoon,Friday,March,"Victoria, AUSTRALIA"
2018,Surfing,M,18,N,Morning,Friday,March,"Victoria, AUSTRALIA"
2018,Swimming,F,55,N,Morning,Friday,February,"New South Wales, AUSTRALIA"
2018,Kayak fishing,M,34,N,Night,Sunday,February,"Victoria, AUSTRALIA"
2018,Walking,M,35,N,Afternoon,Thursday,February,"New South Wales, AUSTRALIA"
2018,Surfing,M,20,N,Afternoon,Friday,January,"Fernando de Noronha, BRAZIL"
2017,Surfing,F,54,N,Evening,Sunday,December,"Hawaii, USA"
2017,Surfing,F,35,N,Afternoon,Saturday,December,"California, USA"
2017,Spearfishing,M,25,N,Afternoon,Friday,November,"California, USA"
2017,Surfing,F,14,N,Afternoon,Saturday,November,"Florida, USA"
2017,Surfing,M,25,N,Afternoon,Monday,November,"New South Wales, AUSTRALIA"
2017,Night bathing,M,22,Y,Night,Saturday,November,"Holquin Province, CUBA"
2017,Surfing,M,31,N,Morning,Saturday,October,"New South Wales, AUSTRALIA"
2017,Surfing,M,17,N,Evening,Monday,October,"Florida, USA"
2017,Swimming,F,60,N,Morning,Monday,October,"Florida, USA"
2017,Kayak fishing,F,15,N,Afternoon,Sunday,October,"South Australia, AUSTRALIA"
2017,Surfing,M,54,N,Evening,Monday,October,"Hawaii, USA"
2017,Snorkeling,F,40,N,Afternoon,Thursday,October,"Hawaii, USA"
2017,Surfing,M,28,N,Afternoon,Saturday,September,"Florida, USA"
2017,Surfing,M,18,N,Evening,Wednesday,September,"Florida, USA"
2017,Surfing,M,35,N,Morning,Sunday,September,"New South Wales, AUSTRALIA"
2017,Surfing,M,42,N,Morning,Sunday,September,"Shizuoka Prefecture, JAPAN"
2017,Surfing,M,17,N,Morning,Saturday,September,"Florida, USA"
2017,Surfing,M,37,N,Morning,Tuesday,August,"Victoria, AUSTRALIA"
2017,Wading,F,3,N,Afternoon,Sunday,August,"Florida, USA"
2017,Stand-Up Paddleboarding,M,69,N,Morning,Wednesday,August,"Massachusetts, USA"
2017,Swimming,M,13,N,Afternoon,Thursday,August,"South Carolina, USA"
2017,Fishing,M,34,N,Night,Thursday,August,"Massachusetts, USA"
2017,Skimboarding,M,15,N,Evening,Monday,July,"Florida, USA"
2017,Surfing,M,37,N,Evening,Monday,July,"Ascension Island, ST HELENA, British overseas territory"
2017,Kayaking,M,40,N,Morning,Thursday,July,"California, USA"
2017,Stand-Up Paddleboarding,M,50,N,Morning,Thursday,July,"California, USA"
2017,Swimming,M,46,N,Afternoon,Sunday,July,"Florida, USA"
2017,Surfing,F,13,N,Afternoon,Friday,July,"Eastern Cape Province, SOUTH AFRICA"
2017,Swimming,M,82,N,Afternoon,Saturday,June,"Ibiza Island, SPAIN"
2017,Body boarding,M,48,N,Morning,Sunday,June,"Western Australia, AUSTRALIA"
2017,Surfing,M,19,N,Morning,Saturday,June,"Florida, USA"
2017,Snorkeling,F,32,N,Morning,Friday,June,"New Providence, BAHAMAS"
2017,Spearfishing,M,41,N,Morning,Friday,May,"Sharjah, UNITED ARAB EMIRATES"
2017,Snorkeling,M,33,Y,Evening,Friday,May,"Baja California Sur, MEXICO"
2017,Surfing,M,14,N,Evening,Saturday,April,"Western Cape Province, SOUTH AFRICA"
2017,Surfing,F,33,N,Morning,Saturday,April,"South Carolina, USA"
2017,Body boarding,M,28,Y,Morning,Saturday,April,"Saint-Leu, REUNION"
2017,Body boarding,F,20,N,Afternoon,Thursday,April,"South Island, NEW ZEALAND"
2017,Snorkeling,F,40,N,Afternoon,Saturday,April,"Ascension Island, ST HELENA, British overseas territory"
2017,Surfing,F,17,Y,Afternoon,Monday,April,"Western Australia, AUSTRALIA"
2017,Surfing,M,28,N,Morning,Friday,April,"Hawaii, USA"
2017,Surfing,M,17,N,Afternoon,Thursday,April,"Florida, USA"
2017,Surfing,F,35,N,Afternoon,Tuesday,April,"Florida, USA"
2017,Paddle boarding,F,10,N,Evening,Monday,April,"Florida, USA"
2017,Swimming,F,21,N,Evening,Monday,April,"Florida, USA"
2017,Swimming,F,51,N,Afternoon,Wednesday,April,"Florida, USA"
2017,Kayaking,M,39,N,Afternoon,Sunday,April,"Queensland, AUSTRALIA"
2017,Swimming,F,17,N,Afternoon,Sunday,April,"Florida, USA"
2017,Surfing,M,58,N,Morning,Monday,March,"Florida, USA"
2017,Body boarding,M,30,N,Evening,Sunday,March,"New South Wales, AUSTRALIA"
2017,Body boarding,M,26,Y,Morning,Tuesday,February,"Saint-Andre, REUNION"
2017,Spearfishing,M,26,N,Morning,Friday,February,"Queensland, AUSTRALIA"
2017,Swimming,M,22,N,Afternoon,Saturday,February,"Florida, USA"
2017,Swimming,M,21,N,Afternoon,Tuesday,January,"Pernambuco, BRAZIL"
2017,Scuba diving,M,55,N,Afternoon,Saturday,January,"Queensland, AUSTRALIA"
